Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily Deaths,New Recoveries
"Jun 08, 2020",265928,8442,129224,7609,272,5247
"Jun 09, 2020",274780,8852,132754,7861,252,5070
"Jun 10, 2020",287155,12375,137919,8257,396,6814
"Jun 11, 2020",298283,11128,142653,8658,401,5993
"Jun 12, 2020",309603,11320,146317,9055,397,7259
"Jun 13, 2020",321626,12023,149930,9370,315,8095
"Jun 14, 2020",332783,11157,153395,9699,329,7363
"Jun 15, 2020",343026,10243,152604,10102,403,10631
"Jun 16, 2020",354161,11135,154464,12145,2043,7232
"Jun 17, 2020",367264,13103,160333,12493,348,6886
"Jun 18, 2020",381091,13827,163063,12846,353,10744
"Jun 19, 2020",395812,14721,168383,13223,377,9024
"Jun 20, 2020",411727,15915,170010,13536,313,13975
"Jun 21, 2020",426910,15183,175688,13970,434,9071
"Jun 22, 2020",440450,13540,178024,14289,319,10885
"Jun 23, 2020",456115,15665,182775,14766,477,10437
"Jun 24, 2020",472985,16870,186099,15198,432,13114
"Jun 25, 2020",491170,18185,189892,15607,409,13983
"Jun 26, 2020",509446,18276,197534,15995,388,10246
"Jun 27, 2020",529577,20131,203014,16417,422,14229
"Jun 28, 2020",549197,19620,210612,16811,394,11628
"Jun 29, 2020",567536,18339,215029,17236,425,13497
"Jun 30, 2020",585792,18256,220201,17755,519,12565
"Jul 01, 2020",605220,19428,227120,18204,449,12060
"Jul 02, 2020",627168,21948,228674,18592,388,20006
"Jul 03, 2020",649889,22721,236523,19047,455,14417
"Jul 04, 2020",673904,24015,245170,19672,625,14743
"Jul 05, 2020",697836,23932,252844,20101,429,15829
"Jul 06, 2020",720346,22510,259608,20588,487,15259
"Jul 07, 2020",743481,23135,265347,21076,488,16908
"Jul 08, 2020",769052,25571,270921,21577,501,19496
"Jul 09, 2020",794842,25790,276811,22071,494,19406
"Jul 10, 2020",822603,27761,283795,22602,531,20246
"Jul 11, 2020",850358,27755,290968,23159,557,20025
"Jul 12, 2020",879466,29108,301364,23673,514,18198
"Jul 13, 2020",907645,28179,311304,24229,556,17683
"Jul 14, 2020",937487,29842,319571,24836,607,20968
"Jul 15, 2020",970169,32682,330962,25472,636,20655
"Jul 16, 2020",1005637,35468,342863,26172,700,22867
"Jul 17, 2020",1040457,34820,359515,26864,692,17476
"Jul 18, 2020",1077864,37407,372815,27419,555,23552
"Jul 19, 2020",1118107,40243,389601,28107,688,22769
"Jul 20, 2020",1154917,36810,401494,28721,614,24303
"Jul 21, 2020",1194085,39168,412280,29412,691,27691
"Jul 22, 2020",1239684,45599,424858,30560,1148,31873
"Jul 23, 2020",1288130,48446,439205,31332,772,33327
"Jul 24, 2020",1337022,48892,454801,32114,782,32514
"Jul 25, 2020",1385494,48472,466434,32825,711,36128
"Jul 26, 2020",1436019,50525,483717,33567,742,32500
"Jul 27, 2020",1482503,46484,495095,34219,652,34454
"Jul 28, 2020",1532135,49632,508346,35019,800,35581
"Jul 29, 2020",1584384,52249,526958,35815,796,32841
"Jul 30, 2020",1639350,54966,543636,36621,806,37482
"Jul 31, 2020",1697054,57704,563998,37409,788,36554
"Aug 01, 2020",1751919,54865,566754,38286,877,51232
"Aug 02, 2020",1804702,52783,578409,39065,779,40349
"Aug 03, 2020",1855331,50629,584992,39899,834,43212
"Aug 04, 2020",1906613,51282,584181,40772,873,51220
"Aug 05, 2020",1963239,56626,594317,41722,950,45540
"Aug 06, 2020",2025409,62170,605374,42651,929,50184
"Aug 07, 2020",2086864,61455,615578,43617,966,50285
"Aug 08, 2020",2152020,65156,627694,44522,905,52135
"Aug 09, 2020",2214137,62117,634298,45561,1039,54474
"Aug 10, 2020",2267153,53016,639034,46479,918,47362
"Aug 11, 2020",2328405,61252,642964,47340,861,56461
"Aug 12, 2020",2395471,67066,651297,48314,974,57759
"Aug 13, 2020",2459613,64142,659631,49346,1032,54776
"Aug 14, 2020",2525222,65609,667299,50367,1021,56920
"Aug 15, 2020",2589208,63986,677191,51345,978,53116
"Aug 16, 2020",2647316,58108,676900,52340,995,57404
"Aug 17, 2020",2701604,54288,672116,53240,900,58172
"Aug 18, 2020",2766626,65022,675561,54362,1122,60455
"Aug 19, 2020",2835822,69196,684386,55368,1006,59365
"Aug 20, 2020",2904329,68507,690016,56372,1004,61873
"Aug 21, 2020",2973368,69039,695216,57353,981,62858
"Aug 22, 2020",3043436,70068,705239,58297,944,59101
"Aug 23, 2020",3105185,61749,709224,59165,868,56896
"Aug 24, 2020",3164881,59696,701734,60046,881,66305
"Aug 25, 2020",3231754,66873,703358,61144,1098,64151
"Aug 26, 2020",3307749,75995,722119,62187,1043,56191
"Aug 27, 2020",3384575,76826,738233,63279,1092,59620
"Aug 28, 2020",3461240,76665,749376,64326,1047,64475
"Aug 29, 2020",3539712,78472,761901,65291,965,64982
"Aug 30, 2020",3619169,79457,779965,66276,985,60408
"Aug 31, 2020",3687939,68770,783450,67112,836,64449
"Sep 01, 2020",3766108,78169,798420,68167,1055,62144
"Sep 02, 2020",3848968,82860,812351,69221,1054,67875
"Sep 03, 2020",3933124,84156,827909,70328,1107,67491
"Sep 04, 2020",4020239,87115,844304,71423,1095,69625
"Sep 05, 2020",4110839,90600,860673,72493,1070,73161
"Sep 06, 2020",4202562,91723,881742,73523,1030,69624
"Sep 07, 2020",4277584,75022,881486,74678,1155,74123
"Sep 08, 2020",4367436,89852,895600,75809,1131,74607
"Sep 09, 2020",4462965,95529,916876,77005,1196,73057
"Sep 10, 2020",4559725,96760,941495,78247,1242,70899
"Sep 11, 2020",4657379,97654,956462,79479,1232,81455
"Sep 12, 2020",4751788,94409,971874,80616,1137,77860
"Sep 13, 2020",4845003,93215,986172,81787,1171,77746
"Sep 14, 2020",4926914,81911,987801,82867,1080,79202
"Sep 15, 2020",5018034,91120,994746,84177,1310,82865
"Sep 16, 2020",5115893,97859,1008498,85346,1169,82938
"Sep 17, 2020",5212686,96793,1016312,86546,1200,87779
"Sep 18, 2020",5305475,92789,1012482,87792,1246,95373
"Sep 19, 2020",5398230,92755,1009543,88963,1171,94523
"Sep 20, 2020",5485612,87382,1002841,90121,1158,92926
"Sep 21, 2020",5560105,74493,974185,91200,1079,102070
"Sep 22, 2020",5640496,80391,966399,92277,1077,87100
"Sep 23, 2020",5730184,89688,964883,93451,1174,90030
"Sep 24, 2020",5816103,85919,968493,94619,1168,81141
"Sep 25, 2020",5901571,85468,959668,95735,1116,93177
"Sep 26, 2020",5990581,89010,955009,96884,1149,92520
"Sep 27, 2020",6073348,82767,962037,97944,1060,74679
"Sep 28, 2020",6143019,69671,945708,98738,794,85206
"Sep 29, 2020",6223519,80500,938947,99938,1200,86061
"Sep 30, 2020",6310267,86748,939115,101145,1207,85373
"Oct 01, 2020",6391960,81693,941044,102263,1118,78646
"Oct 02, 2020",6471934,79974,943500,103357,1094,76424
"Oct 03, 2020",6547413,75479,936369,104312,955,81655
"Oct 04, 2020",6622180,74767,933495,105232,920,76721
"Oct 05, 2020",6682073,59893,916822,106141,909,75657
"Oct 06, 2020",6754179,72106,905774,107152,1011,82143
"Oct 07, 2020",6832988,78809,900392,108134,982,83209
"Oct 08, 2020",6903812,70824,891485,109120,986,78745
"Oct 09, 2020",6977008,73196,881433,110070,950,82298
"Oct 10, 2020",7051543,74535,865665,111015,945,89358
"Oct 11, 2020",7119300,67757,861030,111843,828,71564
"Oct 12, 2020",7173565,54265,836199,112574,731,78365
"Oct 13, 2020",7237082,63517,825062,113315,741,73913
"Oct 14, 2020",7305070,67988,810588,114026,711,81751
"Oct 15, 2020",7365509,60439,801971,114880,854,68202
"Oct 16, 2020",7430635,65126,793212,115789,909,72976
"Oct 17, 2020",7492727,62092,781481,116847,1058,72765
"Oct 18, 2020",7548238,55511,770903,117440,593,65496
"Oct 19, 2020",7594736,46498,746068,118051,611,70722
"Oct 20, 2020",7649158,54422,737823,118785,734,61933
"Oct 21, 2020",7705158,56000,713755,119508,723,79345
"Oct 22, 2020",7759640,54482,693106,120209,701,74430
"Oct 23, 2020",7813668,54028,679216,120883,674,67244
"Oct 24, 2020",7863892,50224,666694,121475,592,62154
"Oct 25, 2020",7909050,45158,653105,121951,476,58271
"Oct 26, 2020",7945888,36838,624701,122472,521,64721
"Oct 27, 2020",7988853,42965,608654,123005,533,58479
"Oct 28, 2020",8038765,49912,600288,123526,521,57757
"Oct 29, 2020",8088046,49281,592039,124109,583,56947
"Oct 30, 2020",8136166,48120,580580,124675,566,59013
"Oct 31, 2020",8182881,46715,568523,125155,480,58292
"Nov 01, 2020",8229322,46441,560755,125662,507,53702
"Nov 02, 2020",8266914,37592,539314,126171,509,58524
"Nov 03, 2020",8312947,46033,531494,126696,525,53328
"Nov 04, 2020",8363412,50465,525364,127418,722,55873
"Nov 05, 2020",8411034,47622,518160,128111,693,54133
"Nov 06, 2020",8460885,49851,513623,128704,593,53795
"Nov 07, 2020",8507203,46318,510636,129276,572,48733
"Nov 08, 2020",8553864,46661,508422,129782,506,48369
"Nov 09, 2020",8591075,37211,503623,130246,464,41546
"Nov 10, 2020",8635754,44679,493140,130770,524,54638
"Nov 11, 2020",8684039,48285,488158,131333,563,52704
"Nov 12, 2020",8727900,43861,482688,131867,534,48797
"Nov 13, 2020",8773243,45343,479356,132420,553,48122
"Nov 14, 2020",8814902,41659,478284,132881,461,42270
"Nov 15, 2020",8845617,30715,464340,133327,446,44213
"Nov 16, 2020",8874172,28555,452214,133789,462,40219
"Nov 17, 2020",8912704,38532,445418,134273,484,44844
"Nov 18, 2020",8958143,45439,441496,134877,604,48757
"Nov 19, 2020",9004325,46182,441830,135479,602,45246
"Nov 20, 2020",9050613,46288,438663,136053,574,48881
"Nov 21, 2020",9095908,45295,439305,136564,511,44142
"Nov 22, 2020",9140312,44404,441781,137087,523,41405
"Nov 23, 2020",9177722,37410,436567,137580,493,42131
"Nov 24, 2020",9221998,44276,442512,138082,502,37829
"Nov 25, 2020",9266697,44699,450099,138612,530,36582
"Nov 26, 2020",9309871,43174,453046,139116,504,39723
"Nov 27, 2020",9351224,41353,452723,139615,499,41177
"Nov 28, 2020",9393039,41815,451755,140123,508,42275
"Nov 29, 2020",9432075,39036,445184,140578,455,45152
"Nov 30, 2020",9463254,31179,433587,141072,494,42282
"Dec 01, 2020",9499710,36456,426328,141584,512,43203
"Dec 02, 2020",9533471,33761,421272,142095,511,38306
"Dec 03, 2020",9571780,38309,413416,142680,585,45580
"Dec 04, 2020",9608418,36638,407213,143202,522,42319
"Dec 05, 2020",9644529,36111,400889,143694,492,41943
"Dec 06, 2020",9676801,32272,394553,144077,383,38225
"Dec 07, 2020",9703908,27107,381774,144489,412,39474
"Dec 08, 2020",9735975,32067,376267,144902,413,37161
"Dec 09, 2020",9762326,26351,372573,145248,346,29699
"Dec 10, 2020",9796992,34666,361057,145747,499,45683
"Dec 11, 2020",9827026,30034,357036,146198,451,33604
"Dec 12, 2020",9857380,30354,353899,146602,404,33087
"Dec 13, 2020",9884716,27336,350158,146950,348,30729
"Dec 14, 2020",9906507,21791,337362,147313,363,34224
"Dec 15, 2020",9932908,26401,329408,147707,394,33961
"Dec 16, 2020",9951072,18164,313856,148073,366,33350
"Dec 17, 2020",9977834,26762,309364,148426,353,30901
"Dec 18, 2020",10004825,26991,306124,148778,352,29879
"Dec 19, 2020",10031659,26834,302847,149131,353,29758
"Dec 20, 2020",10056248,24589,301386,149472,341,25709
"Dec 21, 2020",10075422,19174,290024,149784,312,30224
"Dec 22, 2020",10099308,23886,286486,150125,341,27083
"Dec 23, 2020",10123544,24236,281046,150437,312,29364
"Dec 24, 2020",10147468,23924,279473,150797,360,25137
"Dec 25, 2020",10169818,22350,279382,151054,257,22184
"Dec 26, 2020",10188392,18574,276201,151343,289,21466
"Dec 27, 2020",10208725,20333,275148,151632,289,21097
"Dec 28, 2020",10224797,16072,266141,151889,257,24822
"Dec 29, 2020",10245326,20529,259806,152181,292,26572
"Dec 30, 2020",10267283,21957,255032,152489,308,26423
"Dec 31, 2020",10286329,19046,251802,152741,252,22024
"Jan 01, 2021",10303409,17080,248547,152933,192,20143
"Jan 02, 2021",10324631,21222,244898,153206,273,24598
"Jan 03, 2021",10341291,16660,241733,153427,221,19604
"Jan 04, 2021",10357569,16278,228595,153634,207,29209
"Jan 05, 2021",10375478,17909,225068,153909,275,21161
"Jan 06, 2021",10395938,20460,225636,154139,230,19662
"Jan 07, 2021",10414044,18106,222941,154381,242,20559
"Jan 08, 2021",10432526,18482,221973,154618,237,19213
"Jan 09, 2021",10451346,18820,221114,154837,219,19460
"Jan 10, 2021",10467431,16085,220309,154992,155,16735
"Jan 11, 2021",10479913,12482,214039,155164,172,18580
"Jan 12, 2021",10495816,15903,211987,155372,208,17747
"Jan 13, 2021",10512831,17015,210998,155579,207,17797
"Jan 14, 2021",10528508,15677,210654,155772,193,15828
"Jan 15, 2021",10543659,15151,208825,155951,179,16801
"Jan 16, 2021",10558710,15051,206389,156137,186,17301
"Jan 17, 2021",10572672,13962,205688,156287,150,14513
"Jan 18, 2021",10582647,9975,198367,156428,141,17155
"Jan 19, 2021",10596442,13795,194758,156592,164,17240
"Jan 20, 2021",10611719,15277,189808,156748,156,20071
"Jan 21, 2021",10626200,14481,186397,156914,166,17726
"Jan 22, 2021",10640544,14344,183408,157073,159,17174
"Jan 23, 2021",10655435,14891,182106,157233,160,16033
"Jan 24, 2021",10668674,13239,182061,157369,136,13148
"Jan 25, 2021",10677710,9036,174942,157490,121,16034
"Jan 26, 2021",10690279,12569,174330,157621,131,13050
"Jan 27, 2021",10702031,11752,171453,157760,139,14490
"Jan 28, 2021",10720971,18940,169884,157925,165,20344
"Jan 29, 2021",10734026,13055,167926,158066,141,14872
"Jan 30, 2021",10747091,13065,166783,158199,133,14075
"Jan 31, 2021",10758619,11528,166313,158318,119,11879
"Feb 01, 2021",10767206,8587,161342,158414,96,13462
"Feb 02, 2021",10778206,11000,157968,158532,118,14256
"Feb 03, 2021",10791123,12917,152972,158643,111,17802
"Feb 04, 2021",10803533,12410,149366,158766,123,15893
"Feb 05, 2021",10815222,11689,146570,158862,96,14389
"Feb 06, 2021",10827170,11948,146825,158936,74,11619
"Feb 07, 2021",10838843,11673,146743,159024,88,11667
"Feb 08, 2021",10847790,8947,141778,159107,83,13829
"Feb 09, 2021",10858300,10510,139502,159194,87,12699
"Feb 10, 2021",10871060,12760,140115,159316,122,12025
"Feb 11, 2021",10880413,9353,133659,159403,87,15722
"Feb 12, 2021",10892550,12137,134331,159510,107,11358
"Feb 13, 2021",10904738,12188,135353,159597,87,11079
"Feb 14, 2021",10916172,11434,137399,159690,93,9295
"Feb 15, 2021",10925311,9139,134651,159768,78,11809
"Feb 16, 2021",10937106,11795,134323,159880,112,12011
"Feb 17, 2021",10949546,12440,134869,159971,91,11803
"Feb 18, 2021",10962189,12643,137063,160058,87,10362
"Feb 19, 2021",10976776,14587,140716,160178,120,10814
"Feb 20, 2021",10991091,14315,143273,160280,102,11656
"Feb 21, 2021",11005071,13980,147696,160361,81,9476
"Feb 22, 2021",11015863,10792,144937,160443,82,13469
"Feb 23, 2021",11029326,13463,144636,160546,103,13661
"Feb 24, 2021",11046470,17144,149227,160693,147,12406
"Feb 25, 2021",11063038,16568,153464,160815,122,12209
"Feb 26, 2021",11079094,16056,157028,160927,112,12380
"Feb 27, 2021",11096440,17346,162118,161047,120,12136
"Feb 28, 2021",11112056,15616,166331,161157,110,11293
"Mar 01, 2021",11123619,11563,165823,161238,81,11990
"Mar 02, 2021",11139323,15704,167811,161350,112,13604
"Mar 03, 2021",11156748,17425,171077,161438,88,14071
"Mar 04, 2021",11173572,16824,173997,161554,116,13788
"Mar 05, 2021",11191864,18292,178024,161666,112,14153
"Mar 06, 2021",11210580,18716,182277,161767,101,14362
"Mar 07, 2021",11229271,18691,186522,161869,102,14344
"Mar 08, 2021",11244624,15353,185191,161947,78,16606
"Mar 09, 2021",11261470,16846,181784,162062,115,20138
"Mar 10, 2021",11284311,22841,186309,162199,137,18179
"Mar 11, 2021",11305979,21668,196413,162314,115,11449
"Mar 12, 2021",11333491,27512,199670,162474,160,24095
"Mar 13, 2021",11358644,25153,208153,162636,162,16508
"Mar 14, 2021",11385158,26514,216954,162759,123,17590
"Mar 15, 2021",11409595,24437,221072,162892,133,20186
"Mar 16, 2021",11438464,28869,232004,163083,191,17746
"Mar 17, 2021",11474302,35838,249875,163257,174,17793
"Mar 18, 2021",11513945,39643,269022,163415,158,20338
"Mar 19, 2021",11554895,40950,286138,163608,193,23641
"Mar 20, 2021",11598710,43815,306781,163810,202,22970
"Mar 21, 2021",11645719,47009,332366,164029,219,21205
"Mar 22, 2021",11686330,40611,343039,164232,203,29735
"Mar 23, 2021",11733594,47264,366063,164515,283,23957
"Mar 24, 2021",11787013,53419,392652,164770,255,26575
"Mar 25, 2021",11846082,59069,418546,165033,263,32912
"Mar 26, 2021",11908373,62291,450192,165332,299,30346
"Mar 27, 2021",11971004,62631,483776,165650,318,28729
"Mar 28, 2021",12039210,68206,519531,165952,302,32149
"Mar 29, 2021",12095329,56119,538276,166224,272,37102
"Mar 30, 2021",12148487,53158,549848,166587,363,41223
"Mar 31, 2021",12220669,72182,581121,167054,467,40442
"Apr 01, 2021",12302110,81441,611692,167534,480,50390
"Apr 02, 2021",12391129,89019,655803,168266,732,44176
"Apr 03, 2021",12484127,92998,688212,168793,527,60062
"Apr 04, 2021",12587920,103793,738680,169282,489,52836
"Apr 05, 2021",12684477,96557,784692,169740,458,50087
"Apr 06, 2021",12799746,115269,839599,170388,648,59714
"Apr 07, 2021",12926061,126315,906065,171091,703,59146
"Apr 08, 2021",13057954,131893,975298,171915,824,61836
"Apr 09, 2021",13202783,144829,1042134,172709,794,77199
"Apr 10, 2021",13355465,152682,1103561,173571,862,90393
"Apr 11, 2021",13525379,169914,1197165,174501,930,75380
"Apr 12, 2021",13686073,160694,1260226,175407,906,96727
"Apr 13, 2021",13871321,185248,1362164,176469,1062,82248
"Apr 14, 2021",14070890,199569,1467197,177547,1078,93458
"Apr 15, 2021",14287740,216850,1564986,178776,1229,117832
"Apr 16, 2021",14521683,233943,1674638,180156,1380,122911
"Apr 17, 2021",14782461,260778,1795653,181714,1558,138205
"Apr 18, 2021",15057767,275306,1925521,183398,1684,143754
"Apr 19, 2021",15314714,256947,2026265,185229,1831,154372
"Apr 20, 2021",15609004,294290,2151804,187337,2108,166643
"Apr 21, 2021",15924806,315802,2285869,189531,2194,179543
"Apr 22, 2021",16257309,332503,2423817,191886,2355,192200
"Apr 23, 2021",16602456,345147,2545725,194612,2726,220513
"Apr 24, 2021",16951769,349313,2676189,197499,2887,215962
"Apr 25, 2021",17306300,354531,2809236,200424,2925,218559
"Apr 26, 2021",17625735,319435,2877087,203306,2882,248702
"Apr 27, 2021",17988637,362902,2974199,206734,3428,262362
"Apr 28, 2021",18368096,379459,3079288,210532,3798,270572
"Apr 29, 2021",18754984,386888,3167035,214184,3652,295489
"Apr 30, 2021",19157094,402110,3266240,217851,3667,299238
"May 01, 2021",19549656,392562,3345636,222248,4397,308769
"May 02, 2021",19919715,370059,3411922,226055,3807,299966
"May 03, 2021",20275543,355828,3444830,230010,3955,318965
"May 04, 2021",20658234,382691,3485387,234447,4437,337697
"May 05, 2021",21070852,412618,3562826,238950,4503,330676
"May 06, 2021",21485285,414433,3644603,243272,4322,328334
"May 07, 2021",21886611,401326,3721604,247922,4650,319675
"May 08, 2021",22295911,409300,3731934,252479,4557,394413
"May 09, 2021",22662410,366499,3740522,256622,4143,353768
"May 10, 2021",22991927,329517,3709638,261082,4460,355941
"May 11, 2021",23340426,348499,3697769,266007,4925,355443
"May 12, 2021",23702832,362406,3703597,270799,4792,351786
"May 13, 2021",24046120,343288,3697342,275411,4612,344931
"May 14, 2021",24372243,326123,3665551,280369,4958,352956
"May 15, 2021",24683065,310822,3608711,285316,4947,362715
"May 16, 2021",24964925,281860,3507543,289773,4457,378571
"May 17, 2021",25227970,263045,3343394,294573,4800,422394
"May 18, 2021",25495144,267174,3215810,299631,5058,389700
"May 19, 2021",25771405,276261,3118838,303884,4253,368980
"May 20, 2021",26030674,259269,3015978,308795,4911,357218
"May 21, 2021",26285069,254395,2912466,313586,4791,353116
"May 22, 2021",26528846,243777,2792582,317741,4155,359506
"May 23, 2021",26751681,222835,2707914,322848,5107,302396
"May 24, 2021",26947496,195815,2572930,326806,3958,326841
"May 25, 2021",27156382,208886,2481412,331671,4865,295539
"May 26, 2021",27367935,211553,2405872,336049,4378,282715
"May 27, 2021",27547705,179770,2317407,339972,3923,264312
"May 28, 2021",27719431,171726,2204560,343919,3947,280626
"May 29, 2021",27893472,174041,2098835,347817,3898,275868
"May 30, 2021",28046957,153485,2011195,351233,3416,237709
"May 31, 2021",28173655,126698,1879581,354570,3337,254975
"Jun 01, 2021",28306883,133228,1777552,358339,3769,231488
"Jun 02, 2021",28440988,134105,1696348,361743,3404,211905
"Jun 03, 2021",28572359,131371,1618586,364965,3222,205911
"Jun 04, 2021",28693835,121476,1538011,368694,3729,198322
"Jun 05, 2021",28808372,114537,1460253,371508,2814,189481
"Jun 06, 2021",28909604,101232,1384787,374090,2582,174116
"Jun 07, 2021",28996949,87345,1283822,376328,2238,186072
"Jun 08, 2021",29088176,91227,1213316,378662,2334,159399
"Jun 09, 2021",29182072,93896,1155904,380943,2281,149027
"Jun 10, 2021",29273338,91266,1111396,383048,2105,133669
"Jun 11, 2021",29358033,84695,1071286,385059,2011,122794
"Jun 12, 2021",29439038,81005,1016184,386968,1909,134198
"Jun 13, 2021",29507438,68400,969656,388805,1837,113091
"Jun 14, 2021",29570035,62597,906935,390320,1515,123803
"Jun 15, 2021",29632261,62226,859773,391854,1534,107854
"Jun 16, 2021",29699555,67294,821686,393325,1471,103910
"Jun 17, 2021",29761964,62409,794239,394704,1379,88477
"Jun 18, 2021",29822764,60800,755388,396497,1793,97858
"Jun 19, 2021",29881352,58588,724673,398232,1735,87568
"Jun 20, 2021",29934361,53009,698006,399826,1594,78082
"Jun 21, 2021",29973457,39096,659288,400978,1152,76662
"Jun 22, 2021",30027850,54393,638077,402462,1484,74120
"Jun 23, 2021",30082169,54319,621718,403842,1380,69298
"Jun 24, 2021",30133417,51248,607854,405223,1381,63731
"Jun 25, 2021",30182469,49052,590452,406458,1235,65219
"Jun 26, 2021",30232320,49851,581217,407768,1310,57776
"Jun 27, 2021",30278963,46643,567911,408792,1024,58925
"Jun 28, 2021",30316000,37037,547054,409738,946,56948
"Jun 29, 2021",30361699,45699,531613,410589,851,60289
"Jun 30, 2021",30410577,48878,517431,411624,1035,62025
"Jul 01, 2021",30453937,43360,505402,412448,824,54565
"Jul 02, 2021",30501189,47252,490178,413273,825,61651
"Jul 03, 2021",30544485,43296,480061,414255,982,52431
"Jul 04, 2021",30584872,40387,476861,415025,770,42817
"Jul 05, 2021",30618939,34067,458511,415597,572,51845
"Jul 06, 2021",30662896,43957,454368,416561,964,47136
"Jul 07, 2021",30708570,45674,454698,417407,846,44498
"Jul 08, 2021",30752108,43538,453034,418350,943,44259
"Jul 09, 2021",30794756,42648,449273,419600,1250,45159
"Jul 10, 2021",30836231,41475,448222,420531,931,41595
"Jul 11, 2021",30873907,37676,445442,421265,734,39722
"Jul 12, 2021",30904734,30827,426784,421820,555,48930
"Jul 13, 2021",30944949,40215,425398,422455,635,40966
"Jul 14, 2021",30986803,41854,427274,423046,591,39387
"Jul 15, 2021",31025875,39072,425970,423599,553,39823
"Jul 16, 2021",31063987,38112,419635,424169,570,43877
"Jul 17, 2021",31105270,41283,418342,424695,526,42050
"Jul 18, 2021",31143595,38325,417628,425205,510,38529
"Jul 19, 2021",31173019,29424,401304,425584,379,45369
"Jul 20, 2021",31215142,42123,406059,426082,498,36870
"Jul 21, 2021",31256839,41697,408425,426601,519,38812
"Jul 22, 2021",31291704,34865,404310,427090,489,38491
"Jul 23, 2021",31331202,39498,408124,427640,550,35134
"Jul 24, 2021",31371486,40284,407805,428191,551,40052
"Jul 25, 2021",31409639,38153,409631,428609,418,35909
"Jul 26, 2021",31440483,30844,397511,429034,425,42539
"Jul 27, 2021",31483411,42928,398335,429686,652,41452
"Jul 28, 2021",31526622,43211,402161,430339,653,38732
"Jul 29, 2021",31571295,44673,404157,430897,558,42119
"Jul 30, 2021",31612794,41499,407732,431507,610,37314
"Jul 31, 2021",31654584,41790,409653,432058,551,39318
"Aug 01, 2021",31695368,40784,413198,432489,431,36808
"Aug 02, 2021",31725399,30031,403781,432916,427,39021
"Aug 03, 2021",31767965,42566,409130,433487,571,36646
"Aug 04, 2021",31810782,42817,409531,434028,541,41875
"Aug 05, 2021",31855783,45001,413401,434500,472,40659
"Aug 06, 2021",31894483,38700,411202,435128,628,40271
"Aug 07, 2021",31933553,39070,405828,435628,500,43944
"Aug 08, 2021",31969588,36035,401584,436082,454,39825
"Aug 09, 2021",31997017,27429,387169,436465,383,41461
"Aug 10, 2021",32033333,36316,385768,436941,476,37241
"Aug 11, 2021",32076974,43641,386896,437469,528,41985
"Aug 12, 2021",32117052,40078,384671,438063,594,41709
"Aug 13, 2021",32155827,38775,386772,438548,485,36189
"Aug 14, 2021",32191954,36127,384446,439048,500,37953
"Aug 15, 2021",32225175,33221,381740,439476,428,35499
"Aug 16, 2021",32249900,24725,368719,439921,445,37301
"Aug 17, 2021",32285101,35201,366328,440368,447,37145
"Aug 18, 2021",32320898,35797,363786,440888,520,37819
"Aug 19, 2021",32358210,37312,362621,441457,569,37908
"Aug 20, 2021",32392506,34296,360280,441840,383,36254
"Aug 21, 2021",32423549,31043,352301,442248,408,38614
"Aug 22, 2021",32448969,25420,333226,442640,392,44103
"Aug 23, 2021",32460354,11385,326764,442912,272,17575
"Aug 24, 2021",32511370,51016,321081,443663,751,55948
"Aug 25, 2021",32557767,46397,332438,444283,620,34420
"Aug 26, 2021",32602325,44558,343568,444785,502,32926
"Aug 27, 2021",32649130,46805,358509,445308,523,31341
"Aug 28, 2021",32694188,45058,367287,445773,465,35815
"Aug 29, 2021",32737569,43381,375291,446309,536,34841
"Aug 30, 2021",32767820,30251,369088,446519,210,36244
"Aug 31, 2021",32810892,43072,377581,446989,470,34109
"Sep 01, 2021",32856863,45971,388263,447503,514,34775
"Sep 02, 2021",32902345,45482,398393,447867,364,34988
"Sep 03, 2021",32944691,42346,404360,448214,347,36032
"Sep 04, 2021",32987615,42924,408508,448531,317,38459
"Sep 05, 2021",33027136,39521,403889,448754,223,43917
"Sep 06, 2021",33057320,30184,390809,449049,295,42969
"Sep 07, 2021",33095450,38130,389474,449424,375,39090
"Sep 08, 2021",33138856,43406,391912,449770,346,40622
"Sep 09, 2021",33163004,24148,391682,450039,269,24109
"Sep 10, 2021",33200877,37873,392282,450349,310,36963
"Sep 11, 2021",33232168,31291,385343,450694,345,37885
"Sep 12, 2021",33263542,31374,375920,450918,224,40573
"Sep 13, 2021",33288021,24479,360109,451265,347,39943
"Sep 14, 2021",33315512,27491,349332,451551,286,37982
"Sep 15, 2021",33345873,30361,340893,451990,439,38361
"Sep 16, 2021",33380522,34649,337340,452314,324,37878
"Sep 17, 2021",33415889,35367,338567,452604,290,33850
"Sep 18, 2021",33447010,31121,329743,452916,312,39633
"Sep 19, 2021",33477819,30809,317012,453218,302,43238
"Sep 20, 2021",33502744,24925,307211,453474,256,34470
"Sep 21, 2021",33530077,27333,300004,453866,392,34148
"Sep 22, 2021",33562034,31957,299709,454150,284,31968
"Sep 23, 2021",33593492,31458,298293,454475,325,32549
"Sep 24, 2021",33623072,29580,299529,454771,296,28048
"Sep 25, 2021",33651221,28149,301425,455034,263,25990
"Sep 26, 2021",33678243,27022,298507,455316,282,29658
"Sep 27, 2021",33693148,14905,288992,455499,183,24237
